dataset,method,depth,n_trials,tune_val,test_acc,test_std,val_acc,num_seeds,params
NTU2012,AllSetformer,4,30,85.88,84.59,1.44,86.48,10,"{'lr': 0.001, 'wd': 0.001, 'dropout': 0.0, 'MLP_hidden': 128, 'heads': 4, 'MLP_num_layers': 2, 'decoder_num_layers': 1, 'normalization': 'bn'}"
NTU2012,AllSetformer,64,32,5.63,4.37,0.74,5.49,10,"{'lr': 0.05, 'wd': 0.001, 'dropout': 0.1, 'MLP_hidden': 64, 'heads': 4, 'MLP_num_layers': 2, 'decoder_num_layers': 1, 'normalization': 'ln'}"
NTU2012,AllSetformer,8,30,83.50,82.76,1.18,83.78,10,"{'lr': 0.001, 'wd': 0.001, 'dropout': 0.0, 'MLP_hidden': 128, 'heads': 4, 'MLP_num_layers': 2, 'decoder_num_layers': 1, 'normalization': 'bn'}"
NTU2012,HGNNII,16,30,89.79,89.50,1.79,90.42,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.5, 'MLP_hidden': 256, 'restart_alpha': 0.5, 'lamda': 0.5}"
NTU2012,HGNNII,2,30,89.53,88.91,0.99,90.28,10,"{'lr': 0.005, 'wd': 0.0, 'dropout': 0.7, 'MLP_hidden': 256, 'restart_alpha': 0.35000000000000003, 'lamda': 0.5}"
NTU2012,HGNNII,32,32,90.79,89.64,1.42,91.29,10,"{'lr': 0.05, 'wd': 0.0001, 'dropout': 0.4, 'MLP_hidden': 256, 'restart_alpha': 0.3, 'lamda': 0.5}"
NTU2012,HGNNII,4,30,89.13,88.61,1.54,89.84,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.6000000000000001, 'MLP_hidden': 512, 'restart_alpha': 0.35000000000000003, 'lamda': 0.5}"
NTU2012,HGNNII,64,32,91.45,89.72,1.39,91.55,10,"{'lr': 0.05, 'wd': 0.0001, 'dropout': 0.6000000000000001, 'MLP_hidden': 256, 'restart_alpha': 0.25, 'lamda': 1.0}"
NTU2012,HGNNII,8,30,89.93,89.52,1.35,90.60,10,"{'lr': 0.01, 'wd': 0.0001, 'dropout': 0.6000000000000001, 'MLP_hidden': 256, 'restart_alpha': 0.45, 'lamda': 1.0}"
NTU2012,HGNN,16,30,83.63,82.54,1.57,84.04,10,"{'lr': 0.001, 'wd': 0.0001, 'dropout': 0.2, 'MLP_hidden': 256}"
NTU2012,HGNN,2,30,88.14,87.67,1.35,88.71,10,"{'lr': 0.01, 'wd': 0.001, 'dropout': 0.5, 'MLP_hidden': 512}"
NTU2012,HGNN,32,32,62.09,52.88,9.62,54.93,10,"{'lr': 0.001, 'wd': 0.0001, 'dropout': 0.1, 'MLP_hidden': 128}"
NTU2012,HGNN,4,30,86.81,85.29,1.21,87.00,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.6000000000000001, 'MLP_hidden': 256}"
NTU2012,HGNN,64,32,9.01,5.07,0.91,6.08,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.1, 'MLP_hidden': 256}"
NTU2012,HGNN,8,30,85.42,84.08,1.58,85.33,10,"{'lr': 0.001, 'wd': 0.0, 'dropout': 0.6000000000000001, 'MLP_hidden': 256}"
NTU2012,HNHNII,16,30,90.79,90.20,1.22,91.21,10,"{'lr': 0.01, 'wd': 0.0001, 'dropout': 0.30000000000000004, 'MLP_hidden': 512, 'restart_alpha': 0.35000000000000003, 'lamda': 0.5, 'HNHN_alpha': 0.0, 'HNHN_beta': -0.5}"
NTU2012,HNHNII,2,30,89.53,88.71,1.32,90.10,10,"{'lr': 0.005, 'wd': 1e-05, 'dropout': 0.7, 'MLP_hidden': 512, 'restart_alpha': 0.35000000000000003, 'lamda': 0.5, 'HNHN_alpha': 0.0, 'HNHN_beta': 0.0}"
NTU2012,HNHNII,32,32,90.85,89.20,1.23,91.01,10,"{'lr': 0.05, 'wd': 0.001, 'dropout': 0.2, 'MLP_hidden': 128, 'restart_alpha': 0.35000000000000003, 'lamda': 1.0, 'HNHN_alpha': -0.5, 'HNHN_beta': 0.0}"
NTU2012,HNHNII,4,30,88.93,88.39,0.87,89.32,10,"{'lr': 0.005, 'wd': 0.0001, 'dropout': 0.5, 'MLP_hidden': 256, 'restart_alpha': 0.45, 'lamda': 1.0, 'HNHN_alpha': 0.0, 'HNHN_beta': -1.0}"
NTU2012,HNHNII,64,32,90.72,89.54,1.07,91.19,10,"{'lr': 0.05, 'wd': 0.001, 'dropout': 0.2, 'MLP_hidden': 128, 'restart_alpha': 0.35000000000000003, 'lamda': 1.0, 'HNHN_alpha': -0.5, 'HNHN_beta': 0.0}"
NTU2012,HNHNII,8,30,89.40,88.99,1.23,89.80,10,"{'lr': 0.005, 'wd': 1e-05, 'dropout': 0.4, 'MLP_hidden': 256, 'restart_alpha': 0.4, 'lamda': 0.5, 'HNHN_alpha': 0.0, 'HNHN_beta': 0.0}"
NTU2012,HNHN,16,30,6.30,4.77,1.41,5.96,10,"{'lr': 0.05, 'wd': 1e-05, 'dropout': 0.2, 'MLP_hidden': 128, 'HNHN_alpha': -1.5, 'HNHN_beta': 0.0}"
NTU2012,HNHN,2,30,88.54,86.68,0.84,88.49,10,"{'lr': 0.005, 'wd': 0.0001, 'dropout': 0.6000000000000001, 'MLP_hidden': 512, 'HNHN_alpha': -1.0, 'HNHN_beta': 0.0}"
